1,Riddhima Drug mart,,,"Abhayan Arcade, Near Sharon's Public School, Ram Nagri, Ashiyana, Patna, Bihar 800025",1
2,Sah Pharma,,,"Post Office Road, Raxaul, East Champaran - 845305 Bihar",1
4,Chandrashekhar Medical,,,"Chandmari Rd, Opposite Ugam Pandey College, Netajee Subhash Colony, Motihari, Bihar 845401",1
6,Nitya Medical,,,"Parsagarh Bazar, near Umashanker More, Ekma, Dakhin Parsa, Bihar 841220",1
7,Reeta Drug Mart,,,"Near Mukti Nath Mandir, Ramdyalu Road, Muzaffarpur",1
8,Pragati Drug Mart,,,"At- Harihar Singh Road, Near Rampayari Hospital, Bariatu, Ranchi - 834009 , Jharkhand",1
9,Maa Gayatri Medical Hall,,,"Near Ara Railway Station, Godhna Road, Anaith, Ara , Bhojpur - 802301 , Bihar",1
10,Kavya Drug Store,,,"Changar More, East Ramkrishna Nagar, Bypas Road, Patna - 800027, Bihar",1
11,Techno Park Wellness,,,"Shop No-1, Bihar Pharmacy College Road, Near Gola Road Petrol Pump, Bailey Road - 801503, Bihar",1
12,Paul Medicals,,,"Palkot house , Near Mamta telecom, Lake road, Kishoreganj chowk, Ranchi - 834001",1
13,Kiyansh Medical & Wellness Mart,,,"Rita Complex, Village: Karsa, Near Prathmik Vidyalay Bikram Block Road, Bikram - Patna - 801104, Bihar",1
14,Azad Wellness Hub,,,"Shop No. 103, Al Hayat Palace Commercial Area, Naya Bazar, Dhanbad, 826001- Jharkhand",1
15,Good Health Medical,,,"Quazi Bagh Market, Near Ram Mandir, Gola Bazar, Sherghati, Gaya - 824211 Bihar",1
16,Rajlaxmi Medical Hall,,,"Near Children's Academy Public School, Main Road, Sawang 1 B Market, Gomia Bokaro Jharkhand- 829128",1
17,Shreeji Medical Store,,,"Uday Place, Main Road, Buddha Colony, Patna - 800001, Bihar",1
18,Madhav Wellness Center,,,"Surya Mandir, Kacchi Talab, Saristabad Road, Gardanibagh, Patna, 800002- Bihar",1
19,Bharat Drugs,,,"Moharram Chowk, Bettiah, West Champaran - 845438, Bihar",1
20,Dawai Mall,,,"Baba Jagannath Complex, Patepur Road, Mahua, Vaishali - 844122, Bihar",1
21,Swasthica Wellness Mart,,,"Ground Floor, Holding -136, Line No- 5, Kasidih, Sakchi, Kalimati Road, Jamshedpur, East Singhbhum - 831001, Jharkhand",1
22,Kavita Medical,,,"Bhurbhura More, Near Panchmukhi Hanuman Mandir, Deoghar- 814157, Jharkhand",1
23,One Stop Medicals,,,"Supriya Cinema Chowk, Bettiah, West Champaran - 845438, Bihar",1
24,Hare Krishan Enterprises,,,"Nakku Asthan, In front of Hanuman Mandir, Mohanpur Road, Samastipur - 848101, Bihar",1
25,Evara Enterprises,,,"Mahavir Niwas, Block Road, Kalika Kunj Colony, Pandardih, Sirsiya, Giridih - 815301, Jharkhand",1
26,Medicine World,,,"Hamidi Complex, Amar Cinema Road, Chhoti Kalyani, Muzaffarpur - 842001, Bihar",1
27,Usha Wellness Mart,,,"T-362, Housing Colony, Azad Nagar, Road No.3, Near Sai Mandir, Lohia Nagar, Kankarbagh, Patna - 800020, Bihar",1
28,Siddhi Drug Mart Munger,,,"Sadar Bazar, Near Tip Top Road, Jamalpur, Munger - 811214 Bihar",1
29,Tilak Enterprises,,,"Tilak Sadan, Opposite Farm Gate, Mubarakpur, Danapur, 801503 - Bihar",1
30,Sneha Enterprises,,,"Suhani Complex, Simrahi Bazar, Gol Chowk, Raghopur, Supaul - 852131, Bihar",1
31,Rudra Drug Point,,,"Tribhuvan More, Vijay Path, Khagaul Road, Danapur, Patna - 801105, Bihar",1
