"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
000372,1-AL 10 1*10TAB,TAB.,33,0,0,0,0,6.5167,215.05,86.62,66,0,DR.REDDY S LABORATORIES,,A0001.
SURABB401,ABDOMINAL BELT UNIVERSAL 1 PC,Pcs,2,0,0,0,0,270,540,899,270,0,SURGICAL,,
000283,ABEVIA 200 SR TAB,TAB.,3,0,0,0,0,151.9133,455.74,204.19,155.57,0,MACLEO,,A018
000758,ABEVIA-E 1*10TAB,TAB.,3,0,0,0,0,297.6,892.8,400,304.76,0,CIPLA,,A024
HIFEN858,ABEVIA-N TABLETS (ASPIRIS) 1X1 1*15,PCS,2,0,0,0,0,192.7233,385.45,259.03,197.36,0,INDCHEMIE HEALTH PRIMUS,,A018
ZZZ10864,AB FLO SR 200 TAB 1*10,TAB.,4,0,0,0,0,217.5,870,292.3,222.73,0,LUPIN,,A005
000609,ABIWAYS SR 200 1*10,TAB.,3,0,0,0,0,160.38,481.14,226.34,172.45,0,OTHER PRODUCTS,,A0024
ZZZ7588,ABIWAYS TAB 1*10TAB,TABS,1,0,0,0,0,154.745,154.75,205.77,156.78,0,LIFESTAR PHARMA,,
SUNABP101,AB PHYLLINE CAP 1*10CAP,CAP,6,0,0,0,0,205.513,1233.08,273.28,208.22,0,SUN,,A011
ZZZ9117,AB PHYLLINE N TAB 1*10TAB,TABS,5,0,0,0,0,176.952,884.76,235.31,179.28,0,SUN PHARMACEUTICALS,,A011
SUNABPS02,AB PHYLLINE SYRUP 100 ML,Pcs,3,0,0,0,0,146.6367,439.91,195,148.57,0,SUN,,
ROCACAK01,ACCU CHEK ACTIVE KIT 1PCS,Pcs,2,0,0,0,0,845.26,1690.52,1124,805,0,ROCHE,,
ZZZ10111,ACCU-CHEK INSTANT 10 STRIP 10STRIP,PHYL,2,0,0,0,0,912.09,1824.18,1115,868.66,0,ROCHE,,
DRGACS101,ACCU SURE GLUCOMETER,Pcs,1,0,0,0,0,650,650,999,650,0,DR. GENE,,
