store_id,emedix_name,name,address_line_1,formatted_address,city,state,pincode,country,latitude,longitude,delivery_radius_km,phone,opening_time,closing_time,is_active
1,"EMEDIX SMART PHARMACY - Juran Chapra, Muzaffarpur",Savitri Dawa Khana,"Road No. 1, Opposite Union Bank of India, Juran Chhapra, Muzaffarpur - 842001, Bihar","Road No. 1, Opposite Union Bank of India, Juran Chhapra, Muzaffarpur - 842001, Bihar",Muzaffarpur,Bihar,842001,India,0,0,5,9934614899,,,1
4,"EMEDIX SMART PHARMACY - Balua, Motihari",Chandrashekhar Medical,"Chandmari Rd, Opposite Ugam Pandey College, Netajee Subhash Colony, Motihari, Bihar 845401","Chandmari Rd, Opposite Ugam Pandey College, Netajee Subhash Colony, Motihari, Bihar 845401",Motihari,Bihar,845401,India,26.647501,84.903779,5,923457278,,,1
5,EMEDIX SMART PHARMACY - Ramnagri Store,Riddhima Drug mart,"Abhayan Arcade, Near Sharon's Public School, Ram Nagri, Ashiyana, Patna, Bihar 800025","Abhayan Arcade, Near Sharon's Public School, Ram Nagri, Ashiyana, Patna, Bihar 800025",Patna,Bihar,800025,India,25.616169,85.080202,5,954025262,,,1
7,EMEDIX SMART PHARMACY - Kishoreganj Chowk,Paul Medicals,"Palkot house , Near Mamta telecom, Lake road, Kishoreganj chowk, Ranchi - 834001","Palkot house , Near Mamta telecom, Lake road, Kishoreganj chowk, Ranchi - 834001",Kishoreganj chowk,,834001,India,23.37022,85.312976,5,9263765946,,,1
8,"EMEDIX SMART PHARMACY - Bhurbhura More, Deoghar",Kavita Medical,"Bhurbhura More, Near Panchmukhi Hanuman Mandir, Deoghar- 814157, Jharkhand","Bhurbhura More, Near Panchmukhi Hanuman Mandir, Deoghar- 814157, Jharkhand",Deoghar-,Jharkhand,814157,India,24.50471,86.710765,5,990550735,,,1
9,"EMEDIX SMART PHARMACY - Patepur road, Mahua",Dawai Mall,"Baba Jagannath Complex, Patepur Road, Mahua, Vaishali - 844122, Bihar","Baba Jagannath Complex, Patepur Road, Mahua, Vaishali - 844122, Bihar",Vaishali,Bihar,844122,India,25.817582,85.398843,5,8002557226,,,1
10,EMEDIX SMART PHARMACY - Dhanbad,Azad Wellness Hub,"Shop No. 103, Al Hayat Palace Commercial Area, Naya Bazar, Dhanbad, 826001- Jharkhand","Shop No. 103, Al Hayat Palace Commercial Area, Naya Bazar, Dhanbad, 826001- Jharkhand",Dhanbad,Jharkhand,826001,India,23.792333,86.423488,5,9162179556,,,1
11,EMEDIX SMART PHARMACY - Gola Road,Techno Park Wellness,"Shop No-1, Bihar Pharmacy College Road, Near Gola Road Petrol Pump, Bailey Road - 801503, Bihar","Shop No-1, Bihar Pharmacy College Road, Near Gola Road Petrol Pump, Bailey Road - 801503, Bihar",Shop No-1,Bihar,801503,India,25.611152,85.058782,5,9065161777,,,1
12,EMEDIX SMART PHARMACY - Bikram,Kiyansh Medical & Wellness Mart,"Rita Complex, Village: Karsa, Near Prathmik Vidyalay Bikram Block Road, Bikram - Patna - 801104, Bihar","Rita Complex, Village: Karsa, Near Prathmik Vidyalay Bikram Block Road, Bikram - Patna - 801104, Bihar",Bikram - Patna,Bihar,801104,India,25.443733,84.852149,5,7079996633,,,1
13,EMEDIX SMART PHARMACY - Muharram Chowk,Bharat Drugs,"Moharram Chowk, Bettiah, West Champaran - 845438, Bihar","Moharram Chowk, Bettiah, West Champaran - 845438, Bihar",West Champaran,Bihar,845438,India,26.801831,84.516275,5,6299909249,,,1
